country,exp,exp_f,exp_m,elec,elec_rural,elec_urban,lit,lit_f,lit_m,mort,mort_f,mort_m
Ireland,76.53658537,79.2,74,100,100,100,,,,5.9,5.3,6.5
Isle of Man,,,,100,100,100,,,,,,
Israel,78.95365854,80.9,77.1,100,100,100,,,,5.6,5.2,6
Italy,79.77804878,82.8,76.9,100,100,100,,,,4.7,4.3,5
Jamaica,70.47129268,73.462,67.623,86,81.6,90.09191338,,,,18.7,16.2,21.1
Japan,81.07609756,84.6,77.72,100,100,100,,,,3.3,3,3.5
Jordan,71.7797561,73.26,70.37,99.5,98.7,99.70240577,,,,23.2,21.9,24.4
Kazakhstan,65.51707317,71.1,60.2,97,95,98.58879578,,,,37.5,31.9,42.9
Kenya,50.78517073,51.513,50.092,14.5,4.3,55.57689523,82.22907257,77.89298248,87.49466705,66.5,61.3,71.6
Kiribati,63.95068293,66.967,61.078,52.53027,39.52079,69.80497455,,,,53.2,47.8,58.4
"Korea, Dem. Rep.",64.98256098,68.97,61.185,22.45585,8,32.33153235,,,,44.5,40,48.6
"Korea, Rep.",75.83536585,79.6,72.25,98,95.3,98.69106517,,,,5.2,5,5.5
Kosovo,67.95121951,70,66,100,100,100,,,,,,
Kuwait,73.35521951,74.291,72.464,90.89918,86.9258,90.97572356,,,,10.9,10,11.7
Kyrgyz Republic,68.55853659,72.4,64.9,100,98,100,,,,41.6,37.2,45.7
Lao PDR,58.8792439,60.297,57.529,46.3,40,68.66633298,69.58312225,58.46069717,81.36017609,83.2,74.4,91.6
Latin America & Caribbean (all income levels),71.49815918,74.850081,68.31112273,92.78325524,75.40490106,97.86425656,89.75961721,88.99114039,90.58828536,26.58796628,23.76081876,29.31665342
Latin America & Caribbean (developing only),71.0122021,74.27349215,67.91300651,92.30368663,73.9673996,98.3727354,88.63311566,87.72769188,89.61082155,28.1,25.1,31
Latvia,70.31463415,76,64.9,100,100,100,99.74656677,99.70973206,99.79334259,14.5,13.1,15.8
Least developed countries: UN classification,55.59415138,56.72460655,54.53670204,23.57921278,9.930925778,57.56018401,53.51544667,44.23845251,63.31945341,87.25931917,80.37784136,93.79989259
